Category,Complaint_Text
Cleaning,Trash is piling up outside my house
Electricity,The street wires is running too fast bill is also high
Inflation,Electricity bills are increasing daily in this market
Water,Drinking water is leaking badly every morning
Inflation,The price of flour are out of control in this market
Water,Drinking water is completely stopped since yesterday
Water,Water pressure is extremely low right now
Water,Drinking water is leaking badly right now
Cleaning,Waste is smelling terrible near the school
Cleaning,Waste is overflowing at the park entrance
Electricity,The transformer is disconnected please fix it
Cleaning,Waste is piling up on the main road
Inflation,School fees are out of control for the common man
Water,My tap water is extremely low for the last 2 days
Water,The main pipe has a foul smell every morning
Inflation,Petrol prices have become unaffordable in our city
Electricity,My electricity meter is damaging my appliances during the night
Water,Water pressure has a foul smell for the last 2 days
Electricity,Power supply sparked and caught fire please fix it
Inflation,Rent costs are increasing daily in our city
Electricity,The electricity voltage is damaging my appliances during the night
Cleaning,Dustbin is piling up at the park entrance
Cleaning,Rubbish is scattered near the school
Water,Water pressure has a foul smell every morning
Electricity,The transformer is disconnected bill is also high
Inflation,School fees are out of control for the common man
Inflation,Petrol prices are increasing daily for poor people
Inflation,School fees have doubled in our city
Cleaning,Dustbin is overflowing near the school
Electricity,The electricity voltage is fluctuating bill is also high
Cleaning,Dustbin has not been collected outside my house
Cleaning,Trash is piling up on the main road
Inflation,Vegetable rates are out of control in our city
Inflation,Vegetable rates have doubled in our city
Water,The main pipe has a foul smell every morning
Cleaning,Garbage is smelling terrible in street number 5
Water,My tap water is leaking badly every morning
Water,Water pressure is leaking badly since yesterday
Inflation,Petrol prices are too high in this market
Electricity,The electricity voltage is disconnected bill is also high
Water,Drinking water is leaking badly right now
Electricity,The electricity voltage is fluctuating during the night
Water,The water supply is extremely low all week
Water,The main pipe is completely stopped for the last 2 days
Inflation,Petrol prices are increasing daily in our city
Water,My tap water has a foul smell right now
Water,The main pipe is completely stopped all week
Electricity,My electricity meter is disconnected it is dangerous
Inflation,School fees are out of control for the common man
Electricity,Power supply is running too fast bill is also high
Inflation,The price of flour are out of control for poor people
Cleaning,Rubbish is overflowing outside my house
Electricity,Power supply sparked and caught fire bill is also high
Cleaning,Trash is overflowing outside my house
Water,The water supply is leaking badly since yesterday
Electricity,The transformer is running too fast bill is also high
Inflation,Vegetable rates have become unaffordable for the common man
Water,The water supply is completely stopped for the last 2 days
Electricity,Power supply is running too fast please fix it
Cleaning,Rubbish is overflowing at the park entrance
Water,Water pressure is extremely low right now
Inflation,Electricity bills have doubled in our city
Water,The water supply is completely stopped right now
Water,The water supply is leaking badly for the last 2 days
Water,Water pressure is extremely low right now
Inflation,Electricity bills are out of control in this market
Water,The water supply has a foul smell since yesterday
Electricity,The electricity voltage is running too fast during the night
Water,Water pressure is completely stopped for the last 2 days
Inflation,Vegetable rates have become unaffordable in this market
Inflation,Vegetable rates have doubled for the common man
Water,My tap water is coming out dirty since yesterday
Electricity,The electricity voltage is damaging my appliances it is dangerous
Water,Water pressure is completely stopped since yesterday
Cleaning,Dustbin is scattered outside my house
Electricity,The street wires is disconnected please fix it
Inflation,School fees are out of control this month
Cleaning,Waste is piling up outside my house
Water,The main pipe is completely stopped since yesterday
Inflation,Petrol prices are increasing daily for the common man
Electricity,Power supply is running too fast it is dangerous
Water,Drinking water is completely stopped every morning
Inflation,Electricity bills have become unaffordable in our city
Water,The main pipe has a foul smell right now
Cleaning,Rubbish has not been collected on the main road
Electricity,Power supply is damaging my appliances it is dangerous
Inflation,Electricity bills are out of control for the common man
Water,Drinking water is coming out dirty for the last 2 days
Cleaning,Trash is scattered near the school
Inflation,Rent costs have become unaffordable this month
Cleaning,Garbage is smelling terrible outside my house
Cleaning,Garbage is smelling terrible at the park entrance
Inflation,Rent costs have doubled in our city
Electricity,The street wires is fluctuating causing total blackout
Inflation,Vegetable rates are too high in our city
Electricity,My electricity meter is running too fast causing total blackout
Water,The water supply has a foul smell all week
Inflation,Petrol prices are too high for the common man
Electricity,My electricity meter is damaging my appliances during the night
Inflation,Electricity bills are increasing daily in this market
Electricity,My electricity meter is fluctuating bill is also high
Inflation,Petrol prices are increasing daily for the common man
Electricity,Power supply sparked and caught fire it is dangerous
Inflation,School fees have doubled for poor people
Water,Water pressure is leaking badly since yesterday
Cleaning,Dustbin is piling up outside my house
Inflation,Electricity bills are out of control for the common man
Electricity,The electricity voltage is fluctuating causing total blackout
Cleaning,Sewage is scattered outside my house
Electricity,The street wires sparked and caught fire causing total blackout
Water,My tap water is extremely low for the last 2 days
Water,Water pressure is coming out dirty all week
Cleaning,Garbage is scattered outside my house
Electricity,My electricity meter is damaging my appliances bill is also high
Electricity,Power supply is damaging my appliances it is dangerous
Water,The main pipe is extremely low for the last 2 days
Inflation,School fees are out of control for poor people
Inflation,Rent costs have doubled in this market
Water,Drinking water is leaking badly all week
Cleaning,Sewage is piling up outside my house
Electricity,The transformer is damaging my appliances please fix it
Inflation,School fees are increasing daily for the common man
Electricity,Power supply is disconnected during the night
Cleaning,Trash is smelling terrible outside my house
Electricity,The electricity voltage is damaging my appliances it is dangerous
Electricity,The transformer is running too fast during the night
Inflation,Petrol prices have doubled for poor people
Water,The water supply is leaking badly since yesterday
Cleaning,Waste is piling up on the main road
Inflation,Rent costs have doubled in our city
Cleaning,Dustbin is piling up in street number 5
Inflation,School fees have become unaffordable in our city
Electricity,My electricity meter is disconnected causing total blackout
Inflation,Electricity bills are too high this month
Cleaning,Trash is scattered in street number 5
Electricity,The transformer is fluctuating bill is also high
Water,The main pipe is completely stopped every morning
Cleaning,Dustbin is overflowing in street number 5
Water,The water supply is extremely low right now
Water,Drinking water is extremely low all week
Cleaning,Rubbish is scattered outside my house
Cleaning,Sewage is smelling terrible at the park entrance
Electricity,The electricity voltage is running too fast it is dangerous
Cleaning,Trash is piling up on the main road
Water,My tap water is coming out dirty all week
Water,The water supply has a foul smell right now
Water,The water supply is extremely low since yesterday
Water,The main pipe is leaking badly for the last 2 days
Cleaning,Garbage has not been collected outside my house
Cleaning,Dustbin is overflowing outside my house
Water,The main pipe is leaking badly every morning
Water,The water supply has a foul smell all week
Electricity,The transformer is running too fast causing total blackout
Water,The main pipe is extremely low right now
Electricity,Power supply is disconnected bill is also high
Electricity,The street wires is running too fast bill is also high
Inflation,School fees are increasing daily for poor people
Water,Drinking water is completely stopped right now
Inflation,Electricity bills are out of control for poor people
Cleaning,Trash is piling up on the main road
Inflation,Rent costs are increasing daily for poor people
Inflation,Rent costs are out of control in this market
Inflation,The price of flour are out of control for poor people
Water,Drinking water is extremely low all week
Cleaning,Sewage is smelling terrible near the school
Cleaning,Trash is piling up on the main road
Cleaning,Dustbin is piling up in street number 5
Inflation,Vegetable rates have doubled for poor people
Electricity,My electricity meter sparked and caught fire it is dangerous
Electricity,The transformer is fluctuating it is dangerous
Inflation,Petrol prices have become unaffordable for the common man
Cleaning,Waste is piling up at the park entrance
Cleaning,Trash is smelling terrible at the park entrance
Inflation,Electricity bills have become unaffordable for poor people
Cleaning,Sewage has not been collected outside my house
Electricity,Power supply is running too fast bill is also high
Electricity,The transformer is fluctuating it is dangerous
Cleaning,Sewage is overflowing near the school
Inflation,Rent costs are increasing daily in this market
Water,The main pipe is extremely low since yesterday
Cleaning,Rubbish is scattered outside my house
Cleaning,Garbage is piling up on the main road
Water,Water pressure is coming out dirty right now
Electricity,My electricity meter sparked and caught fire causing total blackout
Water,My tap water is extremely low all week
Water,The water supply is extremely low right now
Inflation,Rent costs have doubled for the common man
Inflation,Electricity bills have doubled in this market
Inflation,School fees are too high for poor people
Inflation,Rent costs have become unaffordable for the common man
Water,The main pipe is extremely low for the last 2 days
Water,The water supply is coming out dirty right now
Electricity,Power supply is fluctuating during the night
Electricity,Power supply is fluctuating causing total blackout
Inflation,Vegetable rates have become unaffordable in our city
Cleaning,Rubbish is smelling terrible outside my house
Water,Water pressure is extremely low all week
Inflation,Petrol prices have become unaffordable for poor people
Electricity,Power supply is disconnected during the night
Water,The main pipe is completely stopped since yesterday
Inflation,Petrol prices have become unaffordable in this market
Water,The main pipe has a foul smell for the last 2 days
Cleaning,Dustbin is overflowing outside my house
Water,Drinking water is coming out dirty all week
Electricity,The street wires is damaging my appliances it is dangerous
Water,Water pressure has a foul smell since yesterday
Electricity,The transformer is running too fast causing total blackout
Cleaning,Rubbish is overflowing on the main road
Electricity,The street wires is damaging my appliances during the night
Electricity,The street wires is running too fast during the night
Inflation,School fees are too high in this market
Water,The water supply is extremely low since yesterday
Water,Drinking water is completely stopped right now
Water,The main pipe is coming out dirty right now
Water,Drinking water has a foul smell for the last 2 days
Electricity,The street wires is running too fast bill is also high
Cleaning,Rubbish is scattered near the school
Cleaning,Sewage is scattered on the main road
Electricity,The street wires is damaging my appliances please fix it
Water,The main pipe is leaking badly for the last 2 days
Inflation,Electricity bills are out of control for poor people
Cleaning,Rubbish is smelling terrible outside my house
Cleaning,Rubbish has not been collected on the main road
Electricity,Power supply is running too fast it is dangerous
Electricity,Power supply sparked and caught fire it is dangerous
Inflation,Rent costs have become unaffordable this month
Inflation,Rent costs are too high for the common man
Electricity,The transformer is running too fast please fix it
Cleaning,Garbage is piling up at the park entrance
Water,My tap water has a foul smell every morning
Water,Water pressure is completely stopped since yesterday
Electricity,Power supply sparked and caught fire bill is also high
Water,Drinking water is extremely low for the last 2 days
Inflation,School fees are increasing daily in this market
Water,Water pressure is extremely low all week
Water,The main pipe is completely stopped for the last 2 days
Cleaning,Rubbish is smelling terrible on the main road
Cleaning,Sewage is piling up in street number 5
Electricity,Power supply is disconnected causing total blackout
Cleaning,Garbage is overflowing at the park entrance
Inflation,Electricity bills are out of control this month
Inflation,School fees are increasing daily for the common man
Cleaning,Trash is overflowing on the main road
Water,My tap water is extremely low every morning
Cleaning,Rubbish is piling up on the main road
Electricity,The electricity voltage is damaging my appliances bill is also high
Inflation,School fees have become unaffordable this month
Inflation,The price of flour have doubled this month
Water,Drinking water is completely stopped since yesterday
Inflation,Petrol prices are out of control for the common man
Inflation,School fees have doubled for the common man
Inflation,Electricity bills are increasing daily in our city
Inflation,Vegetable rates have become unaffordable in our city
Inflation,Vegetable rates are out of control this month
Inflation,The price of flour have doubled in our city
Electricity,Power supply is disconnected during the night
Inflation,Rent costs have become unaffordable for poor people
Water,The water supply is coming out dirty for the last 2 days
Inflation,School fees are increasing daily for the common man
Cleaning,Garbage is overflowing in street number 5
Inflation,Vegetable rates are increasing daily this month
Electricity,My electricity meter is fluctuating please fix it
Cleaning,Garbage has not been collected in street number 5
Cleaning,Dustbin has not been collected in street number 5
Water,Drinking water is leaking badly every morning
Cleaning,Dustbin is overflowing outside my house
Inflation,Vegetable rates are increasing daily in our city
Inflation,Vegetable rates are out of control for poor people
Cleaning,Sewage has not been collected outside my house
Water,Drinking water has a foul smell for the last 2 days
Cleaning,Sewage is scattered in street number 5
Water,Drinking water is leaking badly since yesterday
Cleaning,Rubbish is overflowing outside my house
Electricity,Power supply is running too fast bill is also high
Cleaning,Waste is scattered at the park entrance
Electricity,My electricity meter is fluctuating it is dangerous
Inflation,Petrol prices have doubled in our city
Inflation,Electricity bills have become unaffordable in our city
Electricity,My electricity meter is fluctuating it is dangerous
Water,The main pipe is coming out dirty every morning
Electricity,My electricity meter is running too fast bill is also high
Inflation,The price of flour are increasing daily in this market
Water,My tap water is extremely low since yesterday
Electricity,My electricity meter sparked and caught fire please fix it
Water,My tap water is completely stopped since yesterday
Inflation,Electricity bills are increasing daily this month
Cleaning,Waste is smelling terrible on the main road
Inflation,Rent costs have become unaffordable for poor people
Water,My tap water is leaking badly for the last 2 days
Water,The main pipe has a foul smell since yesterday
Inflation,The price of flour have become unaffordable this month
Electricity,My electricity meter is fluctuating during the night
Inflation,The price of flour have become unaffordable for poor people
Inflation,The price of flour have doubled for poor people
Electricity,Power supply sparked and caught fire causing total blackout
Cleaning,Waste has not been collected in street number 5
Inflation,School fees are too high in our city
Cleaning,Garbage is piling up outside my house
Water,My tap water has a foul smell since yesterday
Water,Water pressure is leaking badly for the last 2 days
